<<<<<<< HEAD
,Website,Domain,Comments
0,100 Percent Fed Up,100percentfedup.com,"questionable, bias, "
1,16 WMPO,16wmpo.com,"satire, imposter site, fake, "
2,OneEighty,180report.com,"least_biased, "
3,21stcenturywire,21stcenturywire.com,", conspiracy, "
4,247newsmedia,247newsmedia.com,", fake news, "
5,24newsflash,24newsflash.com,", fake, "
6,24online.news,24online.news,", imposter site, "
7,24wpn,24wpn.com,", fake news, fake, "
8,WorldPolitics News,24wpn.com,"questionable, "
9,365usanews,365usanews.com,", bias, conspiracy, "
10,369News,369news.net,"pseudoscience, "
11,4threvolutionarywar.wordpress,4threvolutionarywar.wordpress.com,", bias, conspiracy, "
12,70 News,70news.wordpress.com,"questionable, "
13,70news.wordpress,70news.wordpress.com,", fake, "
14,82.221.129.208,82.221.129.208,", conspiracy, fake, "
15,9 News (Australia),9news.com.au,"right_center, "
16,American Association for the Advancement of Science (AAAS),aaas.org,"pro_science, "
17,aanirfan.blogspot,aanirfan.blogspot.co.uk,", unreliable, 0"
18,Americans Against the Tea Party (AATTP),aattp.org,"questionable, "
19,ABC News Australia,abc.net.au,"least_biased, "
20,ABC News,abcnews.go.com,"left_center, "
21,ABC News Co,abcnews.com.co,", imposter site, fake, "
22,abcnewsgo,abcnewsgo.co,", fake, "
23,Abel Danger,abeldanger.net,"pseudoscience, conspiracy, "
24,Above the Law,abovethelaw.com,"left_center, "
25,Above Top Secret,abovetopsecret.com,"pseudoscience, conspiracy, rumor, "
26,Albuquerque Journal,abqjournal.com,"least_biased, "
27,Abril Uno,abriluno.com,"satire, satire, fake, "
28,Ace Flashman,aceflashman.wordpress.com,"satire, "
29,aceflashman.wordpress,aceflashman.wordpress.com,", satire, "
30,American Civil Liberties Union (ACLU),aclu.org,"left_center, "
31,American College of Pediatricians,acpeds.org,"questionable, "
32,American Council on Science and Health,acsh.org,"right_center, "
33,Acting Man,acting-man.com,"right, unreliable, conspiracy, publishes articles denying climate change"
34,Activist Post,activistpost.com,"pseudoscience, conspiracy, "
